Date,Year,Month,Season,ONI,NINO 1+2 SST,NINO 1+2 SST Anomalies,NINO 3 SST,NINO 3 SST Anomalies,NINO 3.4 SST,NINO 3.4 SST Anomalies,NINO 4 SST,NINO 4 SST Anomalies,OLR,TNI,PNA,Precipitation (mm/day),SOI
1951-01-01,1951,JAN,DJF 1951,-0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.315,-1.18,NAN,1.5
1951-02-01,1951,FEB,JFM 1951,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.461,-2.11,NAN,0.9
1951-03-01,1951,MAR,FMA 1951,-0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.590,-1.09,NAN,-0.1
1951-04-01,1951,APR,MAM 1951,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.457,0.47,NAN,-0.3
1951-05-01,1951,MAY,AMJ 1951,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.615,1.19,NAN,-0.7
1951-06-01,1951,JUN,MJJ 1951,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.627,-0.54,NAN,0.2
1951-07-01,1951,JUL,JJA 1951,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.521,-0.44,NAN,-1.0
1951-08-01,1951,AUG,JAS 1951,0.9,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.493,0.02,NAN,-0.2
1951-09-01,1951,SEP,ASO 1951,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.255,-0.08,NAN,-1.1
1951-10-01,1951,OCT,SON 1951,1.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.799,0.43,NAN,-1.0
1951-11-01,1951,NOV,OND 1951,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.492,0.21,NAN,-0.8
1951-12-01,1951,DEC,NDJ 1951,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.294,-1.59,NAN,-0.7
1952-01-01,1952,JAN,DJF 1952,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.168,-3.19,NAN,-0.9
1952-02-01,1952,FEB,JFM 1952,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.293,0.08,NAN,-0.6
1952-03-01,1952,MAR,FMA 1952,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.368,-0.69,NAN,0.5
1952-04-01,1952,APR,MAM 1952,0.3,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.374,0.89,NAN,-0.2
1952-05-01,1952,MAY,AMJ 1952,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.567,-0.79,NAN,0.8
1952-06-01,1952,JUN,MJJ 1952,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.718,0.53,NAN,0.7
1952-07-01,1952,JUL,JJA 1952,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.702,-1.57,NAN,0.5
1952-08-01,1952,AUG,JAS 1952,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.703,0.77,NAN,0.1
1952-09-01,1952,SEP,ASO 1952,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.704,0.40,NAN,-0.2
1952-10-01,1952,OCT,SON 1952,0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.449,1.05,NAN,0.4
1952-11-01,1952,NOV,OND 1952,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.566,0.77,NAN,0.0
1952-12-01,1952,DEC,NDJ 1952,0.2,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.167,0.63,NAN,-1.2
1953-01-01,1953,JAN,DJF 1953,0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.027,0.18,NAN,0.3
1953-02-01,1953,FEB,JFM 1953,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.150,1.04,NAN,-0.5
1953-03-01,1953,MAR,FMA 1953,0.6,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.325,-0.44,NAN,-0.2
1953-04-01,1953,APR,MAM 1953,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.550,0.78,NAN,0.2
1953-05-01,1953,MAY,AMJ 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.428,1.14,NAN,-1.7
1953-06-01,1953,JUN,MJJ 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.532,-1.60,NAN,0.1
1953-07-01,1953,JUL,JJA 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.409,0.27,NAN,0.0
1953-08-01,1953,AUG,JAS 1953,0.7,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.196,-1.15,NAN,-1.2
1953-09-01,1953,SEP,ASO 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.120,-0.14,NAN,-1.2
1953-10-01,1953,OCT,SON 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0.128,2.27,NAN,0.1
1953-11-01,1953,NOV,OND 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.426,1.57,NAN,-0.3
1953-12-01,1953,DEC,NDJ 1953,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.537,0.96,NAN,-0.5
1954-01-01,1954,JAN,DJF 1954,0.8,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-0.655,-2.11,NAN,0.7
1954-02-01,1954,FEB,JFM 1954,0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.250,-0.48,NAN,-0.3
1954-03-01,1954,MAR,FMA 1954,-0.1,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.788,-1.44,NAN,0.3
1954-04-01,1954,APR,MAM 1954,-0.4,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.702,-2.86,NAN,0.6
1954-05-01,1954,MAY,AMJ 1954,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.839,0.65,NAN,0.5
1954-06-01,1954,JUN,MJJ 1954,-0.5,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,-1.800,0.09,NAN,0.1
