,Date,Year,Month,NINO 3.4 SST Anomalies
348,1980-01-01,1980,JAN,-0.054500000000000014
349,1980-02-01,1980,FEB,-0.038500000000000006
350,1980-03-01,1980,MAR,-0.05375
351,1980-04-01,1980,APR,-0.08775000000000001
352,1980-05-01,1980,MAY,-0.08325
353,1980-06-01,1980,JUN,-0.083
354,1980-07-01,1980,JUL,-0.0765
355,1980-08-01,1980,AUG,-0.043
356,1980-09-01,1980,SEP,-0.008749999999999999
357,1980-10-01,1980,OCT,-0.060999999999999985
358,1980-11-01,1980,NOV,-0.09675000000000002
359,1980-12-01,1980,DEC,-0.060999999999999985
360,1981-01-01,1981,JAN,-0.054500000000000014
361,1981-02-01,1981,FEB,-0.038500000000000006
362,1981-03-01,1981,MAR,-0.05375
363,1981-04-01,1981,APR,-0.08775000000000001
364,1981-05-01,1981,MAY,-0.08325
365,1981-06-01,1981,JUN,-0.083
366,1981-07-01,1981,JUL,-0.0765
367,1981-08-01,1981,AUG,-0.043
368,1981-09-01,1981,SEP,-0.008749999999999999
369,1981-10-01,1981,OCT,-0.060999999999999985
370,1981-11-01,1981,NOV,-0.09675000000000002
371,1981-12-01,1981,DEC,-0.060999999999999985
372,1982-01-01,1982,JAN,0.08
373,1982-02-01,1982,FEB,-0.2
374,1982-03-01,1982,MAR,-0.14
375,1982-04-01,1982,APR,0.02
376,1982-05-01,1982,MAY,0.49
377,1982-06-01,1982,JUN,0.65
378,1982-07-01,1982,JUL,0.27
379,1982-08-01,1982,AUG,0.86
380,1982-09-01,1982,SEP,1.24
381,1982-10-01,1982,OCT,1.73
382,1982-11-01,1982,NOV,1.68
383,1982-12-01,1982,DEC,2.21
384,1983-01-01,1983,JAN,2.13
385,1983-02-01,1983,FEB,1.81
386,1983-03-01,1983,MAR,1.22
387,1983-04-01,1983,APR,0.68
388,1983-05-01,1983,MAY,0.68
389,1983-06-01,1983,JUN,0.45
390,1983-07-01,1983,JUL,-0.33
391,1983-08-01,1983,AUG,-0.44
392,1983-09-01,1983,SEP,-0.38
393,1983-10-01,1983,OCT,-1.02
394,1983-11-01,1983,NOV,-1.29
395,1983-12-01,1983,DEC,-1.16
396,1984-01-01,1984,JAN,-0.96
397,1984-02-01,1984,FEB,-0.16
398,1984-03-01,1984,MAR,-0.52
399,1984-04-01,1984,APR,-0.54
400,1984-05-01,1984,MAY,-0.69
401,1984-06-01,1984,JUN,-1.03
402,1984-07-01,1984,JUL,-0.68
403,1984-08-01,1984,AUG,-0.54
404,1984-09-01,1984,SEP,-0.41
405,1984-10-01,1984,OCT,-0.75
406,1984-11-01,1984,NOV,-1.3
407,1984-12-01,1984,DEC,-1.48
408,1985-01-01,1985,JAN,-1.3
409,1985-02-01,1985,FEB,-0.92
410,1985-03-01,1985,MAR,-0.89
411,1985-04-01,1985,APR,-1.1
412,1985-05-01,1985,MAY,-1.08
413,1985-06-01,1985,JUN,-1.08
414,1985-07-01,1985,JUL,-0.8
415,1985-08-01,1985,AUG,-0.63
416,1985-09-01,1985,SEP,-0.77
417,1985-10-01,1985,OCT,-0.74
418,1985-11-01,1985,NOV,-0.59
419,1985-12-01,1985,DEC,-0.59
420,1986-01-01,1986,JAN,-0.72
421,1986-02-01,1986,FEB,-0.78
422,1986-03-01,1986,MAR,-0.6
423,1986-04-01,1986,APR,-0.52
424,1986-05-01,1986,MAY,-0.56
425,1986-06-01,1986,JUN,-0.33
426,1986-07-01,1986,JUL,-0.04
427,1986-08-01,1986,AUG,0.19
428,1986-09-01,1986,SEP,0.4
429,1986-10-01,1986,OCT,0.51
430,1986-11-01,1986,NOV,0.54
431,1986-12-01,1986,DEC,0.82
432,1987-01-01,1987,JAN,0.94
433,1987-02-01,1987,FEB,0.82
434,1987-03-01,1987,MAR,0.89
435,1987-04-01,1987,APR,0.45
436,1987-05-01,1987,MAY,0.32
437,1987-06-01,1987,JUN,0.72
438,1987-07-01,1987,JUL,1.04
439,1987-08-01,1987,AUG,1.2
440,1987-09-01,1987,SEP,1.32
441,1987-10-01,1987,OCT,0.97
442,1987-11-01,1987,NOV,0.85
443,1987-12-01,1987,DEC,0.77
444,1988-01-01,1988,JAN,0.67
445,1988-02-01,1988,FEB,0.22
446,1988-03-01,1988,MAR,0.06
447,1988-04-01,1988,APR,-0.55
448,1988-05-01,1988,MAY,-1.32
449,1988-06-01,1988,JUN,-1.7
450,1988-07-01,1988,JUL,-1.73
451,1988-08-01,1988,AUG,-1.43
452,1988-09-01,1988,SEP,-0.93
453,1988-10-01,1988,OCT,-2.01
454,1988-11-01,1988,NOV,-2.22
455,1988-12-01,1988,DEC,-2.01
456,1989-01-01,1989,JAN,-2.0
457,1989-02-01,1989,FEB,-1.48
458,1989-03-01,1989,MAR,-1.44
459,1989-04-01,1989,APR,-1.32
460,1989-05-01,1989,MAY,-0.89
461,1989-06-01,1989,JUN,-0.67
462,1989-07-01,1989,JUL,-0.57
463,1989-08-01,1989,AUG,-0.72
464,1989-09-01,1989,SEP,-0.51
465,1989-10-01,1989,OCT,-0.55
466,1989-11-01,1989,NOV,-0.62
467,1989-12-01,1989,DEC,-0.2
468,1990-01-01,1990,JAN,-0.11
469,1990-02-01,1990,FEB,0.01
470,1990-03-01,1990,MAR,-0.18
471,1990-04-01,1990,APR,-0.06
472,1990-05-01,1990,MAY,0.04
473,1990-06-01,1990,JUN,-0.26
474,1990-07-01,1990,JUL,-0.03
475,1990-08-01,1990,AUG,0.09
476,1990-09-01,1990,SEP,-0.03
477,1990-10-01,1990,OCT,0.18
478,1990-11-01,1990,NOV,-0.09
479,1990-12-01,1990,DEC,0.22
480,1991-01-01,1991,JAN,0.33
481,1991-02-01,1991,FEB,0.14
482,1991-03-01,1991,MAR,-0.08
483,1991-04-01,1991,APR,0.08
484,1991-05-01,1991,MAY,0.25
485,1991-06-01,1991,JUN,0.39
486,1991-07-01,1991,JUL,0.47
487,1991-08-01,1991,AUG,0.6
488,1991-09-01,1991,SEP,0.31
489,1991-10-01,1991,OCT,0.64
490,1991-11-01,1991,NOV,0.89
491,1991-12-01,1991,DEC,1.5
492,1992-01-01,1992,JAN,1.67
493,1992-02-01,1992,FEB,1.55
494,1992-03-01,1992,MAR,1.16
495,1992-04-01,1992,APR,1.0
496,1992-05-01,1992,MAY,0.91
497,1992-06-01,1992,JUN,0.42
498,1992-07-01,1992,JUL,0.15
499,1992-08-01,1992,AUG,-0.08
500,1992-09-01,1992,SEP,-0.16
501,1992-10-01,1992,OCT,-0.5
502,1992-11-01,1992,NOV,-0.18
503,1992-12-01,1992,DEC,0.14
504,1993-01-01,1993,JAN,0.16
505,1993-02-01,1993,FEB,0.34
506,1993-03-01,1993,MAR,0.23
507,1993-04-01,1993,APR,0.32
508,1993-05-01,1993,MAY,0.65
509,1993-06-01,1993,JUN,0.15
510,1993-07-01,1993,JUL,0.22
511,1993-08-01,1993,AUG,-0.04
512,1993-09-01,1993,SEP,0.24
513,1993-10-01,1993,OCT,0.19
514,1993-11-01,1993,NOV,0.08
515,1993-12-01,1993,DEC,0.1
516,1994-01-01,1994,JAN,0.02
517,1994-02-01,1994,FEB,-0.08
518,1994-03-01,1994,MAR,0.15
519,1994-04-01,1994,APR,0.08
520,1994-05-01,1994,MAY,0.12
521,1994-06-01,1994,JUN,0.13
522,1994-07-01,1994,JUL,-0.01
523,1994-08-01,1994,AUG,0.4
524,1994-09-01,1994,SEP,0.28
525,1994-10-01,1994,OCT,0.6
526,1994-11-01,1994,NOV,0.91
527,1994-12-01,1994,DEC,1.15
528,1995-01-01,1995,JAN,0.75
529,1995-02-01,1995,FEB,0.64
530,1995-03-01,1995,MAR,0.3
531,1995-04-01,1995,APR,0.07
532,1995-05-01,1995,MAY,-0.21
533,1995-06-01,1995,JUN,-0.36
534,1995-07-01,1995,JUL,-0.21
535,1995-08-01,1995,AUG,-0.57
536,1995-09-01,1995,SEP,-0.66
537,1995-10-01,1995,OCT,-0.94
538,1995-11-01,1995,NOV,-1.01
539,1995-12-01,1995,DEC,-0.91
540,1996-01-01,1996,JAN,-0.83
541,1996-02-01,1996,FEB,-0.77
542,1996-03-01,1996,MAR,-0.66
543,1996-04-01,1996,APR,-0.49
544,1996-05-01,1996,MAY,-0.51
545,1996-06-01,1996,JUN,-0.48
546,1996-07-01,1996,JUL,-0.37
547,1996-08-01,1996,AUG,-0.31
548,1996-09-01,1996,SEP,-0.35
549,1996-10-01,1996,OCT,-0.55
550,1996-11-01,1996,NOV,-0.43
551,1996-12-01,1996,DEC,-0.6
552,1997-01-01,1997,JAN,-0.61
553,1997-02-01,1997,FEB,-0.39
554,1997-03-01,1997,MAR,-0.36
555,1997-04-01,1997,APR,-0.11
556,1997-05-01,1997,MAY,0.4
557,1997-06-01,1997,JUN,0.81
558,1997-07-01,1997,JUL,1.27
559,1997-08-01,1997,AUG,1.68
560,1997-09-01,1997,SEP,1.84
561,1997-10-01,1997,OCT,1.96
562,1997-11-01,1997,NOV,2.11
563,1997-12-01,1997,DEC,2.1
564,1998-01-01,1998,JAN,2.03
565,1998-02-01,1998,FEB,1.74
566,1998-03-01,1998,MAR,1.18
567,1998-04-01,1998,APR,0.5
568,1998-05-01,1998,MAY,0.45
569,1998-06-01,1998,JUN,-0.75
570,1998-07-01,1998,JUL,-1.15
571,1998-08-01,1998,AUG,-1.2
572,1998-09-01,1998,SEP,-1.03
573,1998-10-01,1998,OCT,-1.34
574,1998-11-01,1998,NOV,-1.31
575,1998-12-01,1998,DEC,-1.73
576,1999-01-01,1999,JAN,-1.58
577,1999-02-01,1999,FEB,-1.1
578,1999-03-01,1999,MAR,-0.89
579,1999-04-01,1999,APR,-0.99
580,1999-05-01,1999,MAY,-0.92
581,1999-06-01,1999,JUN,-1.08
582,1999-07-01,1999,JUL,-1.03
583,1999-08-01,1999,AUG,-1.22
584,1999-09-01,1999,SEP,-1.03
585,1999-10-01,1999,OCT,-1.19
586,1999-11-01,1999,NOV,-1.63
587,1999-12-01,1999,DEC,-1.65
588,2000-01-01,2000,JAN,-1.77
589,2000-02-01,2000,FEB,-1.52
590,2000-03-01,2000,MAR,-1.13
591,2000-04-01,2000,APR,-0.9
592,2000-05-01,2000,MAY,-0.97
593,2000-06-01,2000,JUN,-0.7
594,2000-07-01,2000,JUL,-0.73
595,2000-08-01,2000,AUG,-0.51
596,2000-09-01,2000,SEP,-0.52
597,2000-10-01,2000,OCT,-0.71
598,2000-11-01,2000,NOV,-0.9
599,2000-12-01,2000,DEC,-1.05
600,2001-01-01,2001,JAN,-0.76
601,2001-02-01,2001,FEB,-0.56
602,2001-03-01,2001,MAR,-0.37
603,2001-04-01,2001,APR,-0.56
604,2001-05-01,2001,MAY,-0.46
605,2001-06-01,2001,JUN,-0.16
606,2001-07-01,2001,JUL,-0.11
607,2001-08-01,2001,AUG,-0.09
608,2001-09-01,2001,SEP,-0.19
609,2001-10-01,2001,OCT,-0.25
610,2001-11-01,2001,NOV,-0.48
611,2001-12-01,2001,DEC,-0.53
612,2002-01-01,2002,JAN,-0.2
613,2002-02-01,2002,FEB,0.03
614,2002-03-01,2002,MAR,-0.06
615,2002-04-01,2002,APR,0.03
