,Year,Month,Date,Daily Average Precipitation,NINO 3.4 SST Anomalies,DMI
0,1980,1,1/1/1980,3.04,-0.0545,-0.093
1,1980,2,1/2/1980,1.991,-0.0385,-0.12
2,1980,3,1/3/1980,1.801,-0.05374,-0.317
3,1980,4,1/4/1980,2.443,-0.08777,-0.02
4,1980,5,1/5/1980,2.955,-0.08325,0.014
5,1980,6,1/6/1980,1.955,-0.083,-0.268
6,1980,7,1/7/1980,2.146,-0.0765,-0.564
7,1980,8,1/8/1980,3.412,-0.043,-0.71
8,1980,9,1/9/1980,1.8,-0.00875,-0.639
9,1980,10,1/10/1980,3.205,-0.061,-0.498
10,1980,11,1/11/1980,4.14,-0.09674,-0.294
11,1980,12,1/12/1980,2.809,-0.061,-0.413
12,1981,1,1/1/1981,0.6914,-0.0545,-0.136
13,1981,2,1/2/1981,2.527,-0.0385,0.056
14,1981,3,1/3/1981,1.057,-0.05374,0.127
15,1981,4,1/4/1981,2.637,-0.08777,0.168
16,1981,5,1/5/1981,2.83,-0.08325,0.062
17,1981,6,1/6/1981,0.456,-0.083,-0.126
18,1981,7,1/7/1981,3.125,-0.0765,-0.463
19,1981,8,1/8/1981,0.5034,-0.043,-0.516
20,1981,9,1/9/1981,2.463,-0.00875,-0.651
21,1981,10,1/10/1981,2.086,-0.061,-0.447
22,1981,11,1/11/1981,1.181,-0.09674,-0.204
23,1981,12,1/12/1981,3.47,-0.061,0.05
24,1982,1,1/1/1982,1.019,0.08,0.209
25,1982,2,1/2/1982,1.25,-0.2,0.246
26,1982,3,1/3/1982,2.66,-0.14,0.154
27,1982,4,1/4/1982,3.008,0.02,0.194
28,1982,5,1/5/1982,1.928,0.49,0.302
29,1982,6,1/6/1982,1.218,0.65,0.369
30,1982,7,1/7/1982,0.8506,0.27,0.362
31,1982,8,1/8/1982,2.19,0.86,0.369
32,1982,9,1/9/1982,0.7974,1.24,0.548
33,1982,10,1/10/1982,2.023,1.73,0.783
34,1982,11,1/11/1982,3.379,1.68,0.407
35,1982,12,1/12/1982,4.582,2.21,-0.093
36,1983,1,1/1/1983,2.143,2.13,-0.416
37,1983,2,1/2/1983,0.2908,1.81,-0.507
38,1983,3,1/3/1983,0.4924,1.22,-0.652
39,1983,4,1/4/1983,0.8433,0.68,-0.481
40,1983,5,1/5/1983,0.8164,0.68,0.021
41,1983,6,1/6/1983,1.529,0.45,0.484
42,1983,7,1/7/1983,2.357,-0.33,0.621
43,1983,8,1/8/1983,2.281,-0.44,0.457
44,1983,9,1/9/1983,2.572,-0.38,0.037
45,1983,10,1/10/1983,1.67,-1.02,-0.128
46,1983,11,1/11/1983,2.375,-1.29,-0.22
47,1983,12,1/12/1983,3.04,-1.16,-0.031
48,1984,1,1/1/1984,3.947,-0.96,-0.158
49,1984,2,1/2/1984,4.44,-0.16,-0.069
50,1984,3,1/3/1984,4.715,-0.52,-0.022
51,1984,4,1/4/1984,2.902,-0.54,0.125
52,1984,5,1/5/1984,3.219,-0.69,-0.225
53,1984,6,1/6/1984,2.613,-1.03,-0.243
54,1984,7,1/7/1984,1.652,-0.68,-0.269
55,1984,8,1/8/1984,1.86,-0.54,-0.385
56,1984,9,1/9/1984,3.264,-0.41,-0.502
57,1984,10,1/10/1984,2.502,-0.75,-0.494
58,1984,11,1/11/1984,2.504,-1.3,-0.295
59,1984,12,1/12/1984,3.518,-1.48,-0.209
60,1985,1,1/1/1985,1.512,-1.3,-0.401
61,1985,2,1/2/1985,2.885,-0.92,-0.547
62,1985,3,1/3/1985,2.982,-0.89,-0.441
63,1985,4,1/4/1985,1.9795,-1.1,-0.125
64,1985,5,1/5/1985,2.283,-1.08,-0.143
65,1985,6,1/6/1985,1.385,-1.08,-0.516
66,1985,7,1/7/1985,2.834,-0.8,-0.307
67,1985,8,1/8/1985,1.053,-0.63,-0.346
68,1985,9,1/9/1985,2.988,-0.77,-0.132
69,1985,10,1/10/1985,3.535,-0.74,-0.339
70,1985,11,1/11/1985,2.793,-0.59,0.197
71,1985,12,1/12/1985,2.543,-0.59,-0.348
72,1986,1,1/1/1986,3.775,-0.72,-0.047
73,1986,2,1/2/1986,0.772,-0.78,-0.056
74,1986,3,1/3/1986,3.848,-0.6,-0.1
75,1986,4,1/4/1986,3.963,-0.52,-0.211
76,1986,5,1/5/1986,2.47,-0.56,-0.074
77,1986,6,1/6/1986,1.759,-0.33,-0.165
78,1986,7,1/7/1986,1.983,-0.04,-0.449
79,1986,8,1/8/1986,0.941,0.19,-0.288
80,1986,9,1/9/1986,3.559,0.4,-0.036
81,1986,10,1/10/1986,2.727,0.51,0.111
82,1986,11,1/11/1986,2.19,0.54,-0.12
83,1986,12,1/12/1986,2.363,0.82,-0.205
84,1987,1,1/1/1987,5.727,0.94,-0.015
85,1987,2,1/2/1987,0.855,0.82,0.121
86,1987,3,1/3/1987,2.285,0.89,-0.037
87,1987,4,1/4/1987,2.145,0.45,-0.081
88,1987,5,1/5/1987,1.875,0.32,0.244
89,1987,6,1/6/1987,1.556,0.72,0.223
90,1987,7,1/7/1987,1.185,1.04,0.304
91,1987,8,1/8/1987,2.639,1.2,0.409
92,1987,9,1/9/1987,2.432,1.32,0.499
93,1987,10,1/10/1987,2.037,0.97,0.414
94,1987,11,1/11/1987,3.615,0.85,0.072
95,1987,12,1/12/1987,1.908,0.77,0.222
96,1988,1,1/1/1988,2.271,0.67,0.418
97,1988,2,1/2/1988,3.514,0.22,-0.074
98,1988,3,1/3/1988,2.543,0.06,-0.212
99,1988,4,1/4/1988,2.922,-0.55,-0.053
100,1988,5,1/5/1988,2.875,-1.32,-0.434
101,1988,6,1/6/1988,2.582,-1.7,-0.158
102,1988,7,1/7/1988,2.594,-1.73,-0.053
103,1988,8,1/8/1988,2.156,-1.43,-0.177
104,1988,9,1/9/1988,3.168,-0.93,-0.288
105,1988,10,1/10/1988,1.639,-2.01,-0.365
106,1988,11,1/11/1988,3.709,-2.22,-0.06
107,1988,12,1/12/1988,1.635,-2.01,0.226
108,1989,1,1/1/1989,2.113,-2,-0.215
109,1989,2,1/2/1989,1.714,-1.48,0.035
110,1989,3,1/3/1989,2.176,-1.44,-0.219
111,1989,4,1/4/1989,2.494,-1.32,-0.405
112,1989,5,1/5/1989,2.28,-0.89,-0.515
113,1989,6,1/6/1989,1.869,-0.67,-0.666
114,1989,7,1/7/1989,2.3,-0.57,-0.35
115,1989,8,1/8/1989,2.457,-0.72,-0.209
